,Unnamed: 0,Unnamed: 0.1,Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude,Modalidade
3620,3714,3714,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA CANADENSE DA FREGUESIA,33178372,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTRADA DO QUITITE, 135 CASA. FREGUESIA - JACAREPAGUA. 22753-790 Rio de Janeiro - RJ.",(21) 31294244,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.95607225,-43.32978651399401,2
3621,3716,3716,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA CANADENSE DA BARRA,33178496,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA MARTINHO DE MESQUITA, 285 BARRA DA TIJUCA. 22620-220 Rio de Janeiro - RJ.",(21) 34866466,Privada,Particular,Não,Em Tramitação,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-23.009170124367103,-43.3218530226045,3
3622,3717,3717,ESCOLA PARALISADA,INSTITUTO EDUCACIONAL LUMINIS,33178500,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"RUA MONSENHOR JERONIMO, 744 ENGENHO DE DENTRO. 20730-110 Rio de Janeiro - RJ.",,Privada,Não Informado,Não,,,,,-22.902473800000006,-43.2955912,6
3623,3718,3718,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO CULTURAL PEDRO II - GUANDU SAPE,33178534,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTRADA GUANDU SAPE, 3545 CASA 1. CAMPO GRANDE. 23095-000 Rio de Janeiro - RJ.",(21) 30820346,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.88159635,-43.562100654028214,6
3624,3719,3719,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA TECNICA SANDRA SILVA,33178550,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA SARGENTO SILVA NUNES, 384 LOJ SALA 201 202. RAMOS. 21040-232 Rio de Janeiro - RJ.",(21) 31045520,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,,,-22.854143,-43.2415563,6
3625,3720,3720,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO TECNOLOGICO DE ATUALIZACAO E FORMACAO PROFISSIONAL LTDA,33178569,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTRADA DO GALEAO, 860 SALAS 201 A 205. ILHA DO GOVERNADOR. 21931-522 Rio de Janeiro - RJ.",(21) 33530020,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,,,-22.811092300000002,-43.193327000000004,6
3626,3721,3721,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CURSOS TECNICOS E PROFISSIONALIZANTES VALERIA VAZ,33178577,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DOUTOR PACHE DE FARIA, 23 MEIER. 20710-020 Rio de Janeiro - RJ.",(21) 22284118,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Profissional,,-22.9042268,-43.2775135,5
3627,3722,3722,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE REABILITACAO INFANTIL ALBANO REIS,33178585,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA NERVAL DE GOUVEIA, 65 QUINTINO BOCAIUVA. 21311-110 Rio de Janeiro - RJ.",(21) 964412441,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Profissional,,-22.8885125,-43.3218903,5
3628,3723,3723,ESCOLA PARALISADA,CENTRO EDUCACIONAL RENASCER - INSTITUTO TECNICO PHENIX,33178593,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"RUA JOAO VICENTE, 141 MADUREIRA. 21340-020 Rio de Janeiro - RJ.",,Privada,Não Informado,Não,,,,,-22.8752417,-43.340354100000006,2
3629,3724,3724,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CURSO SOUZA BARROS DE ENFERMAGEM LTDA,33178615,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA DOM HELDER CAMARA, 5200 SALA 313 A 316. PILARES. 21351-060 Rio de Janeiro - RJ.",(21) 34890777,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,,,-22.8910413,-43.241711,6
