,Semana,Municipio,Casos Novos,Casos Acumulados,Início da semana
275,3,Volta Redonda,1.8314213294653714,4.761695456609966,12/03/2020
276,4,Angra dos Reis,0.4907132517113625,0.981426503422725,19/03/2020
277,4,Aperibé,0.0,0.0,19/03/2020
278,4,Araruama,0.0,0.0,19/03/2020
279,4,Areal,0.0,0.0,19/03/2020
280,4,Armação dos Búzios,0.0,0.0,19/03/2020
281,4,Arraial do Cabo,3.295001482750667,3.295001482750667,19/03/2020
282,4,Barra do Piraí,0.0,0.0,19/03/2020
283,4,Barra Mansa,1.0845281218141987,1.6267921827212979,19/03/2020
284,4,Belford Roxo,0.1957307215025856,1.1743843290155136,19/03/2020
285,4,Bom Jardim,0.0,0.0,19/03/2020
286,4,Bom Jesus do Itabapoana,0.0,0.0,19/03/2020
287,4,Cabo Frio,0.45482868877437316,0.45482868877437316,19/03/2020
288,4,Cachoeiras de Macacu,0.0,0.0,19/03/2020
289,4,Cambuci,0.0,0.0,19/03/2020
290,4,Carapebus,0.0,0.0,19/03/2020
291,4,Comendador Levy Gasparian,0.0,0.0,19/03/2020
292,4,Campos dos Goytacazes,0.5910771000969366,0.5910771000969366,19/03/2020
293,4,Cantagalo,0.0,0.0,19/03/2020
294,4,Cardoso Moreira,0.0,0.0,19/03/2020
295,4,Carmo,0.0,0.0,19/03/2020
296,4,Casimiro de Abreu,0.0,2.263262719536484,19/03/2020
297,4,Conceição de Macabu,0.0,0.0,19/03/2020
298,4,Cordeiro,0.0,0.0,19/03/2020
299,4,Duas Barras,0.0,0.0,19/03/2020
300,4,Duque de Caxias,0.6524604282750252,1.9573812848250753,19/03/2020
301,4,Engenheiro Paulo de Frontin,0.0,0.0,19/03/2020
302,4,Guapimirim,0.0,1.6524282433035344,19/03/2020
303,4,Iguaba Grande,3.532320734722713,7.064641469445426,19/03/2020
304,4,Itaboraí,2.4938485070160272,3.325131342688036,19/03/2020
305,4,Itaguaí,0.0,0.7517723032048054,19/03/2020
306,4,Italva,0.0,0.0,19/03/2020
307,4,Itaocara,0.0,0.0,19/03/2020
308,4,Itaperuna,0.0,0.0,19/03/2020
309,4,Itatiaia,0.0,0.0,19/03/2020
310,4,Japeri,0.0,0.0,19/03/2020
311,4,Laje do Muriaé,0.0,0.0,19/03/2020
312,4,Macaé,1.9480114698915347,5.06482982171799,19/03/2020
313,4,Macuco,0.0,0.0,19/03/2020
314,4,Magé,0.0,0.8160900310522257,19/03/2020
315,4,Mangaratiba,4.497616263380408,4.497616263380408,19/03/2020
316,4,Maricá,0.6203204575483695,1.8609613726451084,19/03/2020
317,4,Mendes,0.0,0.0,19/03/2020
318,4,Mesquita,0.0,1.1356989943385405,19/03/2020
319,4,Miguel Pereira,0.0,3.9157334168689797,19/03/2020
320,4,Miracema,0.0,0.0,19/03/2020
321,4,Natividade,0.0,0.0,19/03/2020
322,4,Nilópolis,1.2308828507246823,2.4617657014493646,19/03/2020
323,4,Niterói,7.009564160877286,14.992678899654194,19/03/2020
324,4,Nova Friburgo,1.5737209582911489,2.098294611054865,19/03/2020
325,4,Nova Iguaçu,1.4614043121169902,2.0703227754990694,19/03/2020
326,4,Paracambi,0.0,1.9136192280460034,19/03/2020
327,4,Paraíba do Sul,4.5162018742237775,4.5162018742237775,19/03/2020
328,4,Paraty,0.0,0.0,19/03/2020
329,4,Paty do Alferes,3.601137959595232,3.601137959595232,19/03/2020
330,4,Petrópolis,1.959561188931092,9.471212413166946,19/03/2020
331,4,Pinheiral,0.0,0.0,19/03/2020
332,4,Piraí,0.0,0.0,19/03/2020
333,4,Porciúncula,0.0,0.0,19/03/2020
334,4,Porto Real,0.0,0.0,19/03/2020
335,4,Quatis,0.0,0.0,19/03/2020
336,4,Queimados,0.665251897631038,1.995755692893114,19/03/2020
337,4,Quissamã,4.048582995951417,4.048582995951417,19/03/2020
338,4,Resende,1.522753747877662,3.045507495755324,19/03/2020
339,4,Rio Bonito,1.6611019750502483,3.3222039501004965,19/03/2020
340,4,Rio Claro,0.0,0.0,19/03/2020
341,4,Rio das Flores,0.0,0.0,19/03/2020
342,4,Rio das Ostras,0.6636845109308839,1.9910535327926517,19/03/2020
343,4,Rio de Janeiro,3.0659766929214487,9.034212876715142,19/03/2020
344,4,Santa Maria Madalena,0.0,0.0,19/03/2020
345,4,Santo Antônio de Pádua,0.0,0.0,19/03/2020
346,4,São Francisco de Itabapoana,0.0,0.0,19/03/2020
347,4,São Fidélis,0.0,0.0,19/03/2020
348,4,São Gonçalo,1.1061549225276746,1.8435915375461243,19/03/2020
349,4,São João da Barra,0.0,0.0,19/03/2020
350,4,São João de Meriti,0.4233646482051456,0.8467292964102912,19/03/2020
351,4,São José de Ubá,0.0,0.0,19/03/2020
352,4,São José do Vale do Rio Preto,0.0,0.0,19/03/2020
353,4,São Pedro da Aldeia,0.9571576247176385,1.914315249435277,19/03/2020
354,4,São Sebastião do Alto,0.0,0.0,19/03/2020
355,4,Sapucaia,0.0,5.486065393899495,19/03/2020
356,4,Saquarema,0.0,0.0,19/03/2020
357,4,Seropédica,0.0,1.214889688016328,19/03/2020
358,4,Silva Jardim,0.0,0.0,19/03/2020
359,4,Sumidouro,0.0,0.0,19/03/2020
360,4,Tanguá,0.0,0.0,19/03/2020
361,4,Teresópolis,1.095326242921454,2.7383156073036354,19/03/2020
362,4,Trajano de Moraes,0.0,0.0,19/03/2020
363,4,Três Rios,0.0,1.2224341108014278,19/03/2020
364,4,Valença,0.0,1.306796649373391,19/03/2020
365,4,Varre-Sai,0.0,0.0,19/03/2020
366,4,Vassouras,0.0,0.0,19/03/2020
367,4,Volta Redonda,7.325685317861486,12.087380774471452,19/03/2020
368,5,Angra dos Reis,0.4907132517113625,1.4721397551340873,26/03/2020
369,5,Aperibé,0.0,0.0,26/03/2020
370,5,Araruama,1.5105740181268883,1.5105740181268883,26/03/2020
371,5,Areal,0.0,0.0,26/03/2020
372,5,Armação dos Búzios,0.0,0.0,26/03/2020
373,5,Arraial do Cabo,0.0,3.295001482750667,26/03/2020
374,5,Barra do Piraí,2.9888218064439,2.9888218064439,26/03/2020
375,5,Barra Mansa,2.1690562436283973,3.7958484263496954,26/03/2020
376,5,Belford Roxo,2.935960822538784,4.3060758730568836,26/03/2020
377,5,Bom Jardim,3.643518181155724,3.643518181155724,26/03/2020
378,5,Bom Jesus do Itabapoana,2.6957084321759757,2.6957084321759757,26/03/2020
